Date,Time,Temperature,Humidity,Light Intensity,Ground Temperature,Ground Humidity
2024-11-13,12:14,28.3,50.1,546,10.9,25.1
2024-11-13,12:09,24.7,40.9,778,12.3,31.4
2024-11-13,12:04,20.6,43.2,347,16.1,59.8
2024-11-13,11:59,26.9,59.1,474,16.6,51.5
2024-11-13,11:54,25.1,52.3,244,17.5,49.1
2024-11-13,11:49,20.1,67.9,737,0.6,51.0
2024-11-13,11:44,27.5,63.1,448,2.7,40.1
2024-11-13,11:39,21.8,58.5,491,15.7,44.1
2024-11-13,11:34,25.9,58.4,566,3.7,26.5
2024-11-13,11:29,21.0,44.1,364,1.6,57.0
2024-11-13,11:24,27.5,47.2,275,4.6,28.2
2024-11-13,11:19,25.9,54.6,586,3.2,20.9
2024-11-13,11:14,20.5,66.8,215,15.7,44.4
2024-11-13,11:09,24.3,56.9,780,5.0,47.9
2024-11-13,11:04,22.5,49.7,738,14.8,58.9
2024-11-13,10:59,24.7,62.9,443,10.7,29.4
2024-11-13,10:54,24.4,47.2,490,6.0,39.7
2024-11-13,10:49,28.5,42.2,207,18.0,53.8
2024-11-13,10:44,25.8,59.1,417,9.7,53.4
2024-11-13,10:39,27.2,65.6,252,18.9,29.1
2024-11-13,10:34,24.5,51.8,216,8.3,27.0
2024-11-13,10:29,22.9,68.1,750,1.6,51.8
2024-11-13,10:24,23.4,40.5,296,10.7,56.9
2024-11-13,10:19,28.1,61.9,492,0.2,22.5
2024-11-13,10:14,29.5,69.2,704,5.7,40.6
2024-11-13,10:09,23.3,67.2,772,16.4,49.3
2024-11-13,10:04,20.0,61.2,458,1.4,26.5
2024-11-13,09:59,23.9,63.6,296,11.1,56.9
2024-11-13,09:54,26.5,66.8,401,8.3,21.1
2024-11-13,09:49,27.7,63.5,710,12.1,53.7
2024-11-13,09:44,21.7,56.4,697,9.7,34.0
2024-11-13,09:39,26.5,51.2,603,18.0,24.8
2024-11-13,09:34,23.6,56.3,433,1.0,38.9
2024-11-13,09:29,24.3,55.8,729,2.6,58.2
2024-11-13,09:24,26.5,41.0,567,9.1,39.4
2024-11-13,09:19,26.6,66.6,696,14.1,24.0
2024-11-13,09:14,28.7,51.2,431,2.8,33.6
2024-11-13,09:09,24.6,68.8,225,14.3,21.8
2024-11-13,09:04,23.7,43.8,405,1.5,31.6
2024-11-13,08:59,21.9,51.9,625,6.0,47.4
2024-11-13,08:54,29.1,56.8,490,2.9,23.4
2024-11-13,08:49,24.5,63.8,785,16.1,27.5
2024-11-13,08:44,22.9,56.0,492,3.9,58.9
2024-11-13,08:39,29.3,47.2,702,16.9,57.1
2024-11-13,08:34,25.1,42.0,235,3.8,21.1
2024-11-13,08:29,22.8,67.4,376,9.7,43.8
2024-11-13,08:24,20.7,67.4,557,10.0,48.4
2024-11-13,08:19,29.4,63.2,221,6.4,50.2
2024-11-13,08:14,24.2,44.0,717,10.4,54.5
2024-11-13,08:09,23.3,64.5,757,9.7,38.7
2024-11-13,08:04,21.9,54.2,752,1.0,40.3
2024-11-13,07:59,29.0,47.6,604,6.0,46.2
2024-11-13,07:54,25.4,68.7,690,12.3,20.7
2024-11-13,07:49,22.6,60.5,487,6.9,34.1
2024-11-13,07:44,28.6,42.7,302,4.6,20.8
2024-11-13,07:39,26.6,55.9,670,15.5,35.3
2024-11-13,07:34,25.0,54.4,550,13.2,24.4
2024-11-13,07:29,23.2,42.9,285,8.4,27.9
2024-11-13,07:24,25.3,49.7,372,20.0,59.6
2024-11-13,07:19,25.0,45.0,408,9.5,58.4
2024-11-13,07:14,21.1,61.0,593,16.2,54.6
2024-11-13,07:09,23.5,60.4,208,16.6,34.8
2024-11-13,07:04,24.9,67.5,753,1.6,25.5
2024-11-13,06:59,30.0,53.1,798,3.9,48.4
2024-11-13,06:54,21.7,68.0,702,0.8,22.9
2024-11-13,06:49,21.7,46.2,640,19.2,30.5
2024-11-13,06:44,25.9,50.3,330,3.6,33.8
2024-11-13,06:39,26.5,53.5,418,2.0,48.7
2024-11-13,06:34,22.5,42.2,261,3.0,34.8
2024-11-13,06:29,24.7,54.8,751,8.3,56.2
2024-11-13,06:24,24.2,62.8,737,4.7,34.9
2024-11-13,06:19,21.2,55.8,369,19.0,56.9
2024-11-13,06:14,23.1,49.4,375,1.6,52.2
2024-11-13,06:09,23.5,47.8,292,0.5,46.9
2024-11-13,06:04,28.7,51.5,369,19.7,43.5
2024-11-13,05:59,29.9,54.8,486,5.5,45.5
2024-11-13,05:54,27.4,44.1,612,13.8,49.7
2024-11-13,05:49,25.4,62.9,384,19.5,34.3
2024-11-13,05:44,24.2,40.5,654,13.8,29.7
